date,sp500,ir3m,ir10y,vix,gdp,cpi,date_yyyymmdd
1998-01-31,980.280029296875,5.039999961853027,5.51200008392334,21.469999313354492,12703.742,162.0,19980131
1998-02-28,1049.3399658203125,5.179999828338623,5.616000175476074,18.549999237060547,12703.742,162.0,19980228
1998-03-31,1101.75,4.989999771118164,5.6620001792907715,24.219999313354492,12703.742,162.0,19980331
1998-04-30,1111.75,4.849999904632568,5.666999816894531,21.18000030517578,12821.339,162.2,19980430
1998-05-31,1090.8199462890625,4.889999866485596,5.546000003814697,21.31999969482422,12821.339,162.6,19980531
1998-06-30,1133.8399658203125,4.96999979019165,5.434000015258789,19.709999084472656,12821.339,162.8,19980630
1998-07-31,1120.6700439453125,4.949999809265137,5.49399995803833,24.799999237060547,12982.752,163.2,19980731
1998-08-31,957.280029296875,4.760000228881836,5.0320000648498535,44.279998779296875,12982.752,163.4,19980831
1998-09-30,1017.010009765625,4.25,4.409999847412109,40.95000076293945,12982.752,163.5,19980930
1998-10-31,1098.6700439453125,4.210000038146973,4.603000164031982,28.049999237060547,13191.67,163.9,19981031
1998-11-30,1163.6300048828125,4.420000076293945,4.72599983215332,26.010000228881836,13191.67,164.1,19981130
1998-12-31,1229.22998046875,4.349999904632568,4.638000011444092,24.420000076293945,13191.67,164.4,19981231
1999-01-31,1279.6400146484375,4.360000133514404,4.6529998779296875,26.25,13315.597,164.7,19990131
1999-02-28,1238.3299560546875,4.550000190734863,5.271999835968018,27.8799991607666,13315.597,164.7,19990228
1999-03-31,1286.3699951171875,4.360000133514404,5.234000205993652,23.260000228881836,13315.597,164.8,19990331
1999-04-30,1335.1800537109375,4.429999828338623,5.349999904632568,25.06999969482422,13426.748,165.9,19990430
1999-05-31,1301.8399658203125,4.510000228881836,5.611000061035156,25.389999389648438,13426.748,166.0,19990531
1999-06-30,1372.7099609375,4.670000076293945,5.809999942779541,21.09000015258789,13426.748,166.0,19990630
1999-07-31,1328.719970703125,4.619999885559082,5.9070000648498535,24.639999389648438,13604.771,166.7,19990731
1999-08-31,1320.4100341796875,4.849999904632568,5.979000091552734,24.450000762939453,13604.771,167.1,19990831
1999-09-30,1282.7099609375,4.710000038146973,5.885000228881836,25.40999984741211,13604.771,167.8,19990930
1999-10-31,1362.9300537109375,4.960000038146973,6.002999782562256,22.200000762939453,13827.98,168.1,19991031
1999-11-30,1388.9100341796875,5.150000095367432,6.163000106811523,24.18000030517578,13827.98,168.4,19991130
1999-12-31,1469.25,5.170000076293945,6.434999942779541,24.639999389648438,13827.98,168.8,19991231
2000-01-31,1394.4599609375,5.53000020980835,6.666999816894531,24.950000762939453,13878.147,169.3,20000131
2000-02-29,1366.4200439453125,5.639999866485596,6.408999919891357,23.3700008392334,13878.147,170.0,20000229
2000-03-31,1498.5799560546875,5.71999979019165,6.0229997634887695,24.110000610351562,13878.147,171.0,20000331
2000-04-30,1452.4300537109375,5.650000095367432,6.214000225067139,26.200000762939453,14130.908,170.9,20000430
2000-05-31,1420.5999755859375,5.489999771118164,6.284999847412109,23.649999618530273,14130.908,171.2,20000531
2000-06-30,1454.5999755859375,5.699999809265137,6.01800012588501,19.540000915527344,14130.908,172.2,20000630
2000-07-31,1430.8299560546875,6.019999980926514,6.0289998054504395,20.739999771118164,14145.312,172.7,20000731
2000-08-31,1517.6800537109375,6.110000133514404,5.729000091552734,16.84000015258789,14145.312,172.7,20000831
2000-09-30,1436.510009765625,6.03000020980835,5.7779998779296875,20.56999969482422,14145.312,173.6,20000930
2000-10-31,1429.4000244140625,6.150000095367432,5.756999969482422,23.6299991607666,14229.765,173.9,20001031
