,date,tmt,coupon,t_spread,yield,ret_eom,rating_A,rating_AA,rating_AAA,rating_B,rating_BB,rating_BBB,rating_C,rating_CC,rating_CCC,rating_D,upgrade,downgrade,gs3m,term_spread
count,3567979,3558048.0,3564817.0,1785116.0,3388794.0,3423531.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0,3423587.0
mean,2016-08-22 18:47:22.105742336,6.352714021845686,0.030283773597410475,0.005355464406794852,0.007411303785063357,0.0071420622599882985,0.19706728644547372,0.04397434620472621,0.007589408418714056,0.025911127714879162,0.042680089625296506,0.22600740100952596,0.0003204241633117546,0.000698390314018601,0.008619906548307375,0.0004138933814154569,0.0018214813877958994,0.002998317261982827,0.015528867529874368,0.011562826444895369
min,2002-07-31 00:00:00,0.0,0.0,0.0,-1.0,-0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0174
25%,2012-09-30 00:00:00,1.61,0.0,0.0014000000000000002,0.0007920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0029
50%,2018-01-31 00:00:00,3.54,0.02625,0.0031,0.02522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008100000000000001,0.013300000000000001
75%,2021-06-30 00:00:00,6.89,0.05875,0.0062,0.0512,0.007469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023700000000000002,0.0205
max,2024-08-31 00:00:00,102.13,0.3375,2.0,1.0,2090.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.055999999999999994,0.0369
std,,8.66518625588925,0.031626372504315534,0.012800901612863685,0.13079146869715383,1.1821201021759529,0.39778363123264593,0.20503808270731405,0.0867860098088665,0.15887022549154234,0.2021348844442472,0.41824407562262556,0.017897530143303874,0.02641784943630381,0.09244244834221517,0.020340162106751603,0.04263993579286614,0.0546747494620333,0.018341632079737172,0.013046074044967835
