,ytm,date,rating_A,rating_AA,rating_AAA,rating_B,rating_BB,rating_BBB,rating_C,rating_CC,rating_CCC,rating_D,upgrade,downgrade,costat_bin,tmt,coupon,t_spread,bond_ret,stock_ret,stock_vol,dvol,turnover,stock_mktcap,bidask,numtrades,stock_price_mean,atq,ceqq,cshoq,ltq,niq,oibdpq,revtq,xintq,prccq,log_atq,lev_total,equity_ratio,roa,profit_margin,int_coverage,accounting_mktcap,market_to_book,atq_growth,revtq_growth,niq_growth,sp500_ret,ir3m_chg,ir10y_chg,vix_chg,gdp_gr,cpi_infl,etf_price,etf_return,ytm_chg
count,854769.0,854769,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0,854769.0
mean,0.04377148551596981,2015-07-03 09:25:40.319313664,-0.43564635591604284,-0.8665323613748276,-0.9748002091793221,-0.9221590862560528,-0.8402258387938729,-0.09131238966317215,-0.9991483079054106,-0.9984580629386419,-0.9791054659212021,-0.9992419004432777,-0.9943165931380291,-0.9913918263296867,0.7094981217147557,-0.002982316400535408,-0.0030879381667333226,-0.0064172152009358075,-0.0005802603931180121,0.0002163627904446818,-2.447411378920402e-05,0.001664103863804183,-8.094007871563563e-06,0.0023072528943067264,-0.0001449272142041006,-0.7799217497783828,2.7986310701423458e-05,0.0017531731338811239,-0.0016543258345441004,0.00038496211462555143,0.0018391738012593897,0.0009766997699165111,0.0010496308396476881,0.003660351526104915,0.004584978077950664,-0.00036029950081836645,0.0017531731338811239,0.0003033375660362711,-0.000298646345527232,0.0003490956894850412,-0.00024306856425783716,-0.0003891016961074009,0.0024917399640084726,0.0001684783615179702,-0.0019906023635795464,-0.0004094937190375326,-0.00011972351678011216,0.008504585285069997,0.024134180448993153,0.006553874832616604,0.024245190722763862,0.0019293101099057363,0.0022524668537100196,-0.015721497289547182,0.0014300240493897612,-4.961156756971779e-06
min,-1.0,2002-08-31 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.16942452401777075,-1.2700001001358032,-1.0130000114440918,-0.45896897824408545,-0.07876784495711386,-0.017705477084725474,-1.0,-1.0,-0.9808
25%,0.02721,2010-11-30 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.5042735042736173,-0.5044776119405261,-0.5098502758078514,-0.501057082452582,-0.49954022988517255,-0.4998595110987637,-0.49858878389998806,-0.4999500149956013,-0.4984150661944813,-0.5000000000001013,-1.0,-0.49973586899128386,-0.4981608827764279,-0.5026217228466282,-0.49917002608513195,-0.49811992875539357,-0.5000787525596156,-0.4995120046849504,-0.4970806794056536,-0.4967483741873453,-0.5000000000001033,-0.4981608827764279,-0.4992397364420681,-0.49982728842849744,-0.4993633817165779,-0.4997191537167198,-0.4997467328539156,-0.4981238273923555,-0.5005498350495851,-0.5016877637132904,-0.500271355693151,-0.4998949359111158,-0.017396107114219572,-0.015000000596046503,-0.1380000114440918,-0.142376183812987,0.0,0.0006516286618252209,-0.536042216358937,-0.5215039917591957,-0.0018399999999999805
50%,0.042140000000000004,2016-06-30 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.0024720423781042777,-0.0022219317738851885,-0.011558219178505302,-0.0010121457491901742,-3.297362383136715e-13,-5.012656956182582e-13,0.0017431725737937498,-0.00028801843346770717,0.002620625866809778,-0.00017602534800209568,-1.0,0.00022366360970682564,0.0015092061573596105,-0.0010550749107401947,0.000244558571533382,0.0016825574871559557,0.001268498942494256,0.0011988011986010516,0.003143059920712954,0.004031242126227186,-4.1666670114182125e-13,0.0015092061573596105,0.00010167768154545342,-3.1374902675906924e-13,0.00012040939169155607,0.00011508804212212453,-4.496403249731884e-13,0.0031781641424553086,0.00010126582258207506,-2.877698079828406e-13,-3.455014052633487e-13,-2.0339285811132868e-13,0.013128152166957952,0.008000373840332031,0.026000022888183594,-0.01619978251203935,0.0,0.002274132890799363,-0.021019923231942572,-0.004418867536942983,-2.9999999999995308e-05
75%,0.05557,2020-08-31 00:00:00,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5013664073989903,0.4984695078872152,0.49881065651724565,0.49964961457550827,0.4999186065435455,0.4997153159986716,0.5016773406523325,0.5000635727904641,0.5030728709388927,0.49948446015569314,-1.0,0.49989589839652293,0.5018252616204666,0.4988501149882012,0.4995026854977125,0.5016233766230718,0.5016171714197291,0.5014907573044123,0.5046406788642246,0.5058061634654965,0.4988448551620761,0.5018252616204666,0.49969040247647056,0.49917002608418337,0.4999999999994722,0.4992881838516372,0.498936527482033,0.5028821766194367,0.5003344481602003,0.4966524650027395,0.4993670157667165,0.49961627014505017,0.035186096519093324,0.07000017166137695,0.15699982643127397,0.12100000381469722,0.003211240684381167,0.0037817929172307974,0.5173212837442898,0.522164948453216,0.0017099999999999997
max,0.9998,2024-08-31 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999996063,0.9999999999996061,0.9999999999996045,0.9999999999996068,0.9999999999996068,0.9999999999996065,0.9999999999996063,0.9999999999996063,0.9999999999996054,0.9999999999996065,0.9999999999993361,0.9999999999996068,0.9999999999996063,0.999999999999605,0.9999999999996068,0.9999999999996063,0.9999999999996065,0.9999999999996065,0.9999999999996052,0.9999999999996059,0.9999999999996068,0.9999999999996063,0.9999999999996065,0.9999999999996065,0.9999999999996063,0.9999999999996065,0.9999999999996063,0.9999999999996048,0.999999999999605,0.9999999999996068,0.9999999999996065,0.9999999999996065,0.1268440381652789,0.7949998378753658,0.9459998607635498,1.3457096182855564,0.07762279174873354,0.013768485466598701,0.9999999999995981,0.9999999999995972,0.9790289999999999
std,0.04287905707386156,,0.9001184369020241,0.49912118582526527,0.22307982966620288,0.38681105811508953,0.5422369258913868,0.9958228796565456,0.04126331060044662,0.05551126154108515,0.20335322712421963,0.038931043803731115,0.10646373030624613,0.13092847948991604,0.704707738196564,0.5783608876288877,0.5804101697063658,0.5816319182280656,0.5777700153735489,0.5766927899870598,0.5768211690227403,0.5777474674031017,0.5770054129025458,0.5780268606262379,0.5767714630065273,0.5843776088840175,0.5768609708357249,0.5772077760117081,0.5783591467000243,0.5765976565344194,0.5772158720408691,0.5784375491635068,0.5773566804690027,0.5777660834758201,0.5781906331878078,0.5765101202997854,0.5772077760117081,0.5764027989981756,0.5763897117711103,0.5766840685667077,0.5759564212441023,0.575118508812754,0.5778985365884459,0.5775503025504781,0.5763705649485374,0.576120523342577,0.5770871248775739,0.04384765319818418,0.19916181367182567,0.25280630294580414,0.25236354303203656,0.009221741793653452,0.003134117048450045,0.6115214682155536,0.5991378540725615,0.014440293863033799
