,ytm,date,rating_A,rating_AA,rating_AAA,rating_B,rating_BB,rating_BBB,rating_C,rating_CC,rating_CCC,rating_D,upgrade,downgrade,costat_bin,tmt,coupon,t_spread,bond_ret,stock_ret,stock_vol,dvol,turnover,stock_mktcap,bidask,numtrades,stock_price_mean,atq,ceqq,cshoq,ltq,niq,oibdpq,revtq,xintq,prccq,log_atq,lev_total,equity_ratio,roa,profit_margin,int_coverage,accounting_mktcap,market_to_book,atq_growth,revtq_growth,niq_growth,sp500_ret,ir3m_chg,ir10y_chg,vix_chg,gdp_gr,cpi_infl,etf_price,etf_return,ytm_chg,up,down
count,280219.0,280219,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0,280219.0
mean,0.05367204521463569,2008-04-06 12:59:49.118510848,-0.43169449609055777,-0.8543853200532441,-0.9783312337850039,-0.8903500476413091,-0.8189059271498363,-0.25533957369057775,-0.9994718416666964,-0.9980301121622731,-0.9705373297313886,-0.9995360771396657,-0.9924344887391647,-0.9895581670050925,0.48934940171794206,0.005045502291757483,-0.007412352588971634,-0.011071369314693663,-0.002451966230271734,0.0019257977867178327,-0.00837583421048336,0.0009810853600525048,-0.003437869959227237,0.0015886057029719648,-0.008429756677881758,-0.8836282050711449,0.006024595109950163,-0.00023521897941841492,-0.0005653808020108559,-0.0005575972523536839,-0.0008664642284879259,0.0026874537256836146,0.001119980370451693,0.005716721282823913,0.004180371650823222,0.005775904472906039,-0.00023521897941841492,-0.009494940023749657,0.009633965588130391,0.009178285790047001,0.0039515630732852875,0.006334843896002984,0.0016750462754629369,0.008834612053853143,0.0012597519389849709,0.0005854221862603333,-0.00011843142411187712,0.030586575060372153,0.1340084195329389,0.0032857759552136095,-0.0358837886051826,0.017845311471939296,0.04190466773566453,0.003340522054299896,-0.0009403282965930953,-0.04510050353473534,0.4254886356742405,0.5475895638768249
min,-0.1,2002-08-31 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.599198318546516,-2.341729404812906,-2.479119664614329,-1.6639855327799973,-2.940476417729889,-2.9698270568086245,-1.0,-1.0,-14.969999999999997,0.0,0.0
25%,0.03925,2005-09-30 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4931812546493959,-0.5044776119405261,-0.5158428390369599,-0.4983897325124708,-0.4954908528732309,-0.5072681704263122,-0.4952322525799278,-0.5027881040894504,-0.4942174248267177,-0.5066889174280261,-1.0,-0.49470041098875417,-0.4988190836091172,-0.49689903249838907,-0.49845348560575853,-0.499085254299488,-0.49460241136003763,-0.495466908431779,-0.4955752212391612,-0.4978430846175936,-0.4942665702422537,-0.4988190836091172,-0.5060665765075307,-0.48288700411319874,-0.4843537414968325,-0.4956705385429796,-0.4897137745977237,-0.4942092272642893,-0.485664259137892,-0.49619647902651765,-0.5000000000001927,-0.49936359779401807,-0.5094798780731055,-0.07782223421622941,-0.5238059596059746,-0.5618697535683601,-0.33954439698092076,-0.43251280313510077,-0.5200391006844965,-0.5329566854993097,-0.2500000000000002,0.0,0.0
50%,0.05411,2008-05-31 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.006393640918954002,-0.00562851782405438,-0.012701514411815995,-0.002805049088708711,-4.326539126964235e-13,-4.741762538174044e-13,0.0013858641849133768,-0.0002252759635051893,0.00038550501117939895,-5.14366327308835e-13,-1.0,-3.927969061123804e-13,0.003789314133761268,0.00021057064603069442,0.000420344682219298,0.0035859431025562216,0.0014746155462390664,0.002620919704073188,0.003547497043356884,0.005480817139508876,0.00021877050929774988,0.003789314133761268,-4.652944696204031e-13,0.0003927729768262722,0.00036010082787174547,-3.50941498084012e-13,-0.0003796507217158629,0.0005593884016406037,-0.00021982853418323067,-4.4075854077618715e-13,-0.00018618506832979165,-5.470068842328146e-13,0.14351149713140468,0.08725299496951978,0.009132986938305802,-0.20518175234075617,-0.33954439698092076,0.04317217017790815,0.004209720627246671,-0.013381995134220004,-0.016999999999999654,0.0,1.0
75%,0.06546,2010-11-30 00:00:00,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5088798926681005,0.4917206623462962,0.49464012251091316,0.4929842140414179,0.49989843591245187,0.4888497938002432,0.4963712337798565,0.4945414847156133,0.49551683302267113,0.48774240761014,-1.0,0.5065428450816774,0.49638273045437753,0.4942190456163573,0.4951660361490142,0.4951849974650304,0.49936628643789627,0.49736644093228133,0.5073500198643197,0.5072967338424228,0.5055905671878409,0.49638273045437753,0.48350795498584276,0.50671718911419,0.5066212497737742,0.5043804755938655,0.50618738951031,0.49660392004599396,0.5072305937956555,0.4990910636366024,0.5010606703430203,0.49974160206666673,0.6158936975417392,0.32307683427556727,0.581682028554905,0.4724229138327159,0.0,0.46788659040839886,0.5258528212823317,0.5227854582685496,0.16200000000000034,1.0,1.0
max,0.2,2012-12-31 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999993399,0.9999999999993352,0.9999999999993328,0.9999999999993405,0.9999999999993405,0.9999999999993405,0.999999999999339,0.9999999999993403,0.9999999999993376,0.9999999999993405,0.999999999998801,0.9999999999993401,0.9999999999993403,0.9999999999993405,0.9999999999993405,0.9999999999993403,0.9999999999993363,0.9999999999993394,0.9999999999993376,0.999999999999337,0.9999999999993405,0.9999999999993403,0.9999999999993405,0.9999999999993405,0.9999999999993403,0.9999999999993399,0.9999999999993405,0.9999999999993376,0.9999999999993399,0.9999999999993396,0.9999999999993399,0.9999999999993405,2.3315908007517137,2.4690706620311813,2.4793813620151908,2.588362397628197,2.7438382573077638,2.44854198967346,0.9999999999993017,0.9999999999993261,14.991,1.0,1.0
std,0.027262778122040185,,0.9020214884586246,0.5196409226618434,0.207046250827188,0.455277423516113,0.5739287917220488,0.9668531626300462,0.032496791903375226,0.06273682541532977,0.24095123735732615,0.030457081387369023,0.12277556497161562,0.14413434098410463,0.8720893745077578,0.5767720392036102,0.5780057239290398,0.5795568970961198,0.5737733889141026,0.5746588611933944,0.5746573017092498,0.5738988119221446,0.5756808713602973,0.5729308397374472,0.5743910371422372,0.4529930246751773,0.5748555501503909,0.5744545210603877,0.573466614825306,0.5749902109275294,0.5745070847811599,0.5754456257999763,0.5743649347905859,0.5773837621016507,0.5772550572491422,0.5748156081881638,0.5744545210603877,0.5732567543052356,0.573201680713176,0.5745579916607199,0.5748254542708924,0.5726503759595931,0.5729380487587428,0.5745674654690404,0.5750386616185602,0.5755505978904404,0.5762534292032836,0.9372434646188721,0.6207539754318419,0.9055826533576141,0.9152232880152639,0.833625620002629,0.7677513342050861,0.6104291983492683,0.5979885759760949,0.9334288146972651,0.49441776761752915,0.4977309689886542
